Price,Bathrooms,Bedrooms,ParkingSlots,SquareMeters,GpsLongitude,GpsLatitude,Municipio,Estado
3200000,3,3,2,200.00,-104.8191965,20.3784149,Talpa de Allende,Jalisco
3950000,2,3,2,98.00,-99.23636599999999,19.3391382,Álvaro Obregón,Ciudad de México
7500000,3,3,2,132.00,-99.17744619999999,19.4149803,Cuauhtémoc,Ciudad de México
6800000,2,2,2,122.00,-99.21821179999999,19.4307397,Miguel Hidalgo,Ciudad de México
6480000,3,3,2,165.00,-99.2834093,19.3617203,Cuajimalpa,Ciudad de México
10797000,2,2,2,180.00,-99.2134442,19.4249374,Miguel Hidalgo,Ciudad de México
5750000,4,3,2,250.00,-86.82235849999999,21.1598457,Benito Juárez,Quintana Roo
962000,2,3,2,82.00,-99.1277489,19.4912405,Gustavo A. Madero,Ciudad de México
9650000,3,3,3,249.00,-99.2574241,19.4274175,Naucalpan de Juárez,Estado de México
1535000,2,3,2,134.56,-89.5212525,21.0742295,Conkal Municipality,Yucatán
3600000,3,4,4,277.00,-99.1117223,19.2805633,Xochimilco,Ciudad de México
5950000,2,3,2,148.00,-99.2868745,19.4226596,Huixquilucan,Estado de México
2900000,2,3,2,180.00,-86.845,21.149,Benito Juárez,Quintana Roo
14000000,2,3,2,335.00,-99.17744619999999,19.4149803,Cuauhtémoc,Ciudad de México
13500000,3,2,2,270.00,-99.2633141,19.3929373,Cuajimalpa,Ciudad de México
14500000,3,3,4,300.00,-99.24807279999999,19.4010793,Miguel Hidalgo,Ciudad de México
4150000,2,2,1,100.00,-99.2868745,19.4226596,Huixquilucan,Estado de México
8500000,3,4,2,425.00,-99.1932867,18.8972706,Cuernavaca,Morelos
9334000,4,3,3,270.00,-99.1617833,19.291462,Tlalpan,Ciudad de México
3850000,2,2,2,120.00,-99.15806929999999,19.3923907,Benito Juarez,Ciudad de México
14500000,3,3,4,258.00,-99.24807279999999,19.4010793,Miguel Hidalgo,Ciudad de México
14500000,3,3,4,258.00,-99.25500029999999,19.3904162,Cuajimalpa,Ciudad de México
10000000,2,2,1,200.00,-99.17744619999999,19.4149803,Cuauhtémoc,Ciudad de México
1660000,1,2,1,55.00,-99.09578549999999,19.4255849,Venustiano Carranza,Ciudad de México
5419000,3,3,2,225.00,-89.2636045,21.3419002,Telchac Puerto Municipality,Yucatán
4850000,2,2,1,107.00,-99.1776488,19.3981464,Miguel Hidalgo,Ciudad de México
5000000,1,2,2,170.00,-99.16291310000001,19.5077959,Tlalnepantla de Baz,Estado de México
1900000,1,1,2,64.00,-87.09118789999999,20.6323938,Solidaridad,Quintana Roo
13900000,3,3,2,230.00,-99.18782859999999,19.4092984,Miguel Hidalgo,Ciudad de México
13900000,3,3,2,313.00,-99.18782859999999,19.4092984,Miguel Hidalgo,Ciudad de México
4950000,2,2,2,125.00,-99.2868745,19.4226596,Huixquilucan,Estado de México
5600000,2,2,1,97.00,-99.162549,19.4195256,Cuauhtémoc,Ciudad de México
5800000,2,3,2,138.00,-99.17249939999999,19.3668017,Benito Juarez,Ciudad de México
7800000,2,3,2,129.00,-99.17249939999999,19.3668017,Benito Juarez,Ciudad de México
23854822,4,3,4,557.00,-99.2868745,19.4226596,Huixquilucan,Estado de México
4500000,2,2,1,70.00,-99.162549,19.4195256,Cuauhtémoc,Ciudad de México
7950000,3,3,2,180.00,-99.15703139999999,19.3316822,Coyoacán,Ciudad de México
9000000,4,3,2,354.00,-99.17249939999999,19.3668017,Benito Juarez,Ciudad de México
1600000,1,2,1,64.00,-99.18021469999999,19.4413563,Miguel Hidalgo,Ciudad de México
19000000,2,3,2,295.00,-99.2021571,19.431123,Miguel Hidalgo,Ciudad de México
4800000,2,3,2,180.00,-99.2121724,19.3409223,Álvaro Obregón,Ciudad de México
10500000,2,3,2,210.00,-99.17744619999999,19.4149803,Cuauhtémoc,Ciudad de México
4400000,2,2,2,98.00,-99.15806929999999,19.3923907,Benito Juarez,Ciudad de México
1680000,3,3,1,190.00,-103.3836374,20.7642628,Zapopan,Jalisco
2850000,3,3,2,150.00,-98.9364533,18.9200409,Atlatlahucan Municipality,Morelos
1540000,2,3,1,85.20,-87.0910856,20.6701246,Solidaridad,Quintana Roo
4600000,3,4,2,174.32,-99.1220962,19.5002857,Gustavo A. Madero,Ciudad de México
2550000,3,2,2,130.00,-99.23325129999999,19.5600096,Atizapán de Zaragoza,Estado de México
13900000,3,3,2,313.00,-99.18782859999999,19.4092984,Miguel Hidalgo,Ciudad de México
3175000,1,2,1,77.00,-99.1724994,19.3668017,Benito Juarez,Ciudad de México
7250000,2,3,3,140.00,-99.2092897,19.3205752,Álvaro Obregón,Ciudad de México
5150000,1,1,2,60.00,-99.19560120000001,19.4340199,Miguel Hidalgo,Ciudad de México
2550000,2,3,1,95.00,-99.0914394,19.3165254,Iztapalapa,Ciudad de México
2550000,2,3,1,95.00,-99.0914394,19.3165254,Iztapalapa,Ciudad de México
2550000,2,3,1,95.00,-99.0914394,19.3165254,Iztapalapa,Ciudad de México
2280000,4,3,2,200.00,-100.877925,22.0828019,San Luis Potosí,San Luis Potosí
3500000,2,2,1,100.00,-99.1248628,19.3439785,Coyoacán,Ciudad de México
1920000,1,1,1,70.00,-99.85853729999999,16.8558052,Acapulco,Guerrero
6408462,2,2,2,118.00,-99.16184489999999,19.426753,Cuauhtémoc,Ciudad de México
8900000,2,3,2,129.00,-99.2023662,19.4431776,Miguel Hidalgo,Ciudad de México
8000000,3,3,2,181.00,-99.2882606,19.3916612,Huixquilucan,Estado de México
10900000,3,3,2,205.00,-99.162549,19.4195256,Cuauhtémoc,Ciudad de México
8800000,2,4,1,297.00,-99.1743904,19.4076068,Cuauhtémoc,Ciudad de México
2500000,4,4,1,197.00,-101.7013366,21.1722448,León,Guanajuato
3700000,3,3,2,181.00,-87.049,20.682,Solidaridad,Quintana Roo
9000000,4,3,2,300.00,-98.2382547,19.0225549,Puebla de los Angeles,Puebla
1850000,4,3,2,210.00,-98.277103,18.9913673,San Andrés Cholula,Puebla
1295000,2,3,1,72.00,-87.109,20.655,Solidaridad,Quintana Roo
2949000,3,3,2,210.00,-100.3329494,20.6809522,El Marqués,Querétaro
2030000,1,2,1,50.00,-99.1063235,19.4513868,Venustiano Carranza,Ciudad de México
3150000,3,2,2,226.00,-101.697043,21.185634,León,Guanajuato
990000,1,3,2,66.00,-99.2246783,19.6878849,Cuautitlán Izcalli Municipality,Estado de México
5000000,4,3,2,238.00,-98.2464204,19.0110779,Puebla de los Angeles,Puebla
2685000,2,3,2,208.00,-100.346627,20.6437181,Santiago de Querétaro,Querétaro
2400000,2,3,2,160.00,-100.3329494,20.6809522,El Marqués,Querétaro
6850000,4,4,2,370.00,-98.2736079,18.9964262,San Andrés Cholula,Puebla
